File,Number,Offset,Japanese,English,Centering,References,width,height,lineheight
bvm_decmp/m/078/before.bvmc,0x2a,0x2cd,"カオル＿基本姿勢","",0x0,0x0 0x4 0x2c4 0x2f7 0x328 0x3cb,196,42,14
bvm_decmp/m/078/before.bvmc,0x9,0x70,"カオル","",0x0,0x16 0xeb 0x10f 0x115 0x121 0x147 0x14e 0x155 0x15c 0x2cc 0x2fd 0x32e 0x33c 0x343 0x34a 0x366 0x36d 0x3b5 0x3d1 0x3df 0x3e6 0x3f4 0x41e 0x0,196,42,14
bvm_decmp/m/078/before.bvmc,0x32,0x335,"私、カオル。
忍びの里の下忍よ。","",0x0,0x0 0x1 0x330,196,42,14
bvm_decmp/m/078/before.bvmc,0x33,0x356,"カオル＿感謝","",0x0,0x0 0x3 0x336 0x360 0x3ad,196,42,14
bvm_decmp/m/078/before.bvmc,0x9,0x70,"カオル","",0x0,0x16 0xeb 0x10f 0x115 0x121 0x147 0x14e 0x155 0x15c 0x2cc 0x2fd 0x32e 0x33c 0x343 0x34a 0x366 0x36d 0x3b5 0x3d1 0x3df 0x3e6 0x3f4 0x41e 0x0,196,42,14
bvm_decmp/m/078/before.bvmc,0x34,0x363,"里を守ってくれて、感謝です。","",0x0,0x0 0x1 0x33e,196,42,14
bvm_decmp/m/078/before.bvmc,0x9,0x70,"カオル","",0x0,0x16 0xeb 0x10f 0x115 0x121 0x147 0x14e 0x155 0x15c 0x2cc 0x2fd 0x32e 0x33c 0x343 0x34a 0x366 0x36d 0x3b5 0x3d1 0x3df 0x3e6 0x3f4 0x41e 0x0,196,42,14
bvm_decmp/m/078/before.bvmc,0x35,0x380,"一時は、どうなることかと
思ったけど。","",0x0,0x0 0x1 0x345,196,42,14
bvm_decmp/m/078/before.bvmc,0x9,0x70,"カオル","",0x0,0x16 0xeb 0x10f 0x115 0x121 0x147 0x14e 0x155 0x15c 0x2cc 0x2fd 0x32e 0x33c 0x343 0x34a 0x366 0x36d 0x3b5 0x3d1 0x3df 0x3e6 0x3f4 0x41e 0x0,196,42,14
bvm_decmp/m/078/before.bvmc,0x36,0x3a7,"あなたたちのおかげで
助かったよ～。","",0x0,0x0 0x1 0x34c,196,42,14
bvm_decmp/m/078/before.bvmc,0x2c,0x2f1,"ケイ＿基本姿勢Ｌ","",0x0,0x0 0x3 0x2d5 0x306 0x352,196,42,14
bvm_decmp/m/078/before.bvmc,0xc,0x91,"ケイ","",0x0,0xb 0x103 0x12e 0x176 0x2e3 0x314 0x358 0x374 0x3c3 0x402 0x410 0x42c 0x0,196,42,14
bvm_decmp/m/078/before.bvmc,0x37,0x3cc,"まあ、気にすんなよ。","",0x0,0x0 0x1 0x35a,196,42,14
bvm_decmp/m/078/before.bvmc,0x33,0x356,"カオル＿感謝","",0x0,0x0 0x3 0x336 0x360 0x3ad,196,42,14
bvm_decmp/m/078/before.bvmc,0x9,0x70,"カオル","",0x0,0x16 0xeb 0x10f 0x115 0x121 0x147 0x14e 0x155 0x15c 0x2cc 0x2fd 0x32e 0x33c 0x343 0x34a 0x366 0x36d 0x3b5 0x3d1 0x3df 0x3e6 0x3f4 0x41e 0x0,196,42,14
bvm_decmp/m/078/before.bvmc,0x38,0x3e1,"私、貧乏だから～、
お礼なんてできないんだけど。
せめて、家に寄っていってよ。","",0x0,0x0 0x1 0x368,196,42,14
bvm_decmp/m/078/before.bvmc,0x9,0x70,"カオル","",0x0,0x16 0xeb 0x10f 0x115 0x121 0x147 0x14e 0x155 0x15c 0x2cc 0x2fd 0x32e 0x33c 0x343 0x34a 0x366 0x36d 0x3b5 0x3d1 0x3df 0x3e6 0x3f4 0x41e 0x0,196,42,14
bvm_decmp/m/078/before.bvmc,0x39,0x430,"お茶とお菓子ぐらいなら
出せるからさ～。","",0x0,0x0 0x1 0x36f,196,42,14
bvm_decmp/m/078/before.bvmc,0xc,0x91,"ケイ","",0x0,0xb 0x103 0x12e 0x176 0x2e3 0x314 0x358 0x374 0x3c3 0x402 0x410 0x42c 0x0,196,42,14
bvm_decmp/m/078/before.bvmc,0x19,0x1e0,"…………。","",0x2 0x2 0x17a 0x17f 0x2 0x378 0x37d,0x0 0x2 0x178 0x376,196,42,14
bvm_decmp/m/078/before.bvmc,0x3a,0x459,"天神神社","",0x0,0x0 0x1 0x397,196,42,14
bvm_decmp/m/078/before.bvmc,0x3b,0x462,"カメラ２","",0x0,0x0 0x1 0x39e,196,42,14
bvm_decmp/m/078/before.bvmc,0x33,0x356,"カオル＿感謝","",0x0,0x0 0x3 0x336 0x360 0x3ad,196,42,14
bvm_decmp/m/078/before.bvmc,0x9,0x70,"カオル","",0x0,0x16 0xeb 0x10f 0x115 0x121 0x147 0x14e 0x155 0x15c 0x2cc 0x2fd 0x32e 0x33c 0x343 0x34a 0x366 0x36d 0x3b5 0x3d1 0x3df 0x3e6 0x3f4 0x41e 0x0,196,42,14
bvm_decmp/m/078/before.bvmc,0x3c,0x46b,"ここが私の家なんだ～。
神社なんだけどね。","",0x0,0x0 0x1 0x3b7,196,42,14
bvm_decmp/m/078/before.bvmc,0x3d,0x496,"ケイ＿にが笑いＬ","",0x0,0x0 0x3 0x3bd 0x3fc 0x426,196,42,14
bvm_decmp/m/078/before.bvmc,0xc,0x91,"ケイ","",0x0,0xb 0x103 0x12e 0x176 0x2e3 0x314 0x358 0x374 0x3c3 0x402 0x410 0x42c 0x0,196,42,14
bvm_decmp/m/078/before.bvmc,0x3e,0x4a7,"へぇぇ。
神社に住んでるんだ？","",0x0,0x0 0x1 0x3c5,196,42,14
bvm_decmp/m/078/before.bvmc,0x2a,0x2cd,"カオル＿基本姿勢","",0x0,0x0 0x4 0x2c4 0x2f7 0x328 0x3cb,196,42,14
bvm_decmp/m/078/before.bvmc,0x9,0x70,"カオル","",0x0,0x16 0xeb 0x10f 0x115 0x121 0x147 0x14e 0x155 0x15c 0x2cc 0x2fd 0x32e 0x33c 0x343 0x34a 0x366 0x36d 0x3b5 0x3d1 0x3df 0x3e6 0x3f4 0x41e 0x0,196,42,14
bvm_decmp/m/078/before.bvmc,0x3f,0x4c6,"本当の家があったんだけど。
戦いでつぶれちゃった。","",0x0,0x0 0x1 0x3d3,196,42,14
bvm_decmp/m/078/before.bvmc,0x40,0x4f9,"カオル＿考え中","",0x0,0x0 0x2 0x3d9 0x418,196,42,14
bvm_decmp/m/078/before.bvmc,0x9,0x70,"カオル","",0x0,0x16 0xeb 0x10f 0x115 0x121 0x147 0x14e 0x155 0x15c 0x2cc 0x2fd 0x32e 0x33c 0x343 0x34a 0x366 0x36d 0x3b5 0x3d1 0x3df 0x3e6 0x3f4 0x41e 0x0,196,42,14
bvm_decmp/m/078/before.bvmc,0x41,0x508,"たぶん、ナイトシェイドが
壊したんだと思うけど。","",0x0,0x0 0x1 0x3e1,196,42,14
bvm_decmp/m/078/before.bvmc,0x9,0x70,"カオル","",0x0,0x16 0xeb 0x10f 0x115 0x121 0x147 0x14e 0x155 0x15c 0x2cc 0x2fd 0x32e 0x33c 0x343 0x34a 0x366 0x36d 0x3b5 0x3d1 0x3df 0x3e6 0x3f4 0x41e 0x0,196,42,14
bvm_decmp/m/078/before.bvmc,0x42,0x539,"もしかして、あなたたち、
記憶にないかな～。","",0x0,0x0 0x1 0x3e8,196,42,14
bvm_decmp/m/078/before.bvmc,0x43,0x566,"カオル＿むくれる","",0x0,0x0 0x1 0x3ee,196,42,14
bvm_decmp/m/078/before.bvmc,0x9,0x70,"カオル","",0x0,0x16 0xeb 0x10f 0x115 0x121 0x147 0x14e 0x155 0x15c 0x2cc 0x2fd 0x32e 0x33c 0x343 0x34a 0x366 0x36d 0x3b5 0x3d1 0x3df 0x3e6 0x3f4 0x41e 0x0,196,42,14
bvm_decmp/m/078/before.bvmc,0x44,0x577,"人形で
私の家を蹴り飛ばしたり、
してないよね～？","",0x0,0x0 0x1 0x3f6,196,42,14
bvm_decmp/m/078/before.bvmc,0x3d,0x496,"ケイ＿にが笑いＬ","",0x0,0x0 0x3 0x3bd 0x3fc 0x426,196,42,14
bvm_decmp/m/078/before.bvmc,0xc,0x91,"ケイ","",0x0,0xb 0x103 0x12e 0x176 0x2e3 0x314 0x358 0x374 0x3c3 0x402 0x410 0x42c 0x0,196,42,14
bvm_decmp/m/078/before.bvmc,0x45,0x5aa,"あ、ああ……。","",0x0,0x0 0x1 0x404,196,42,14
bvm_decmp/m/078/before.bvmc,0x18,0x1cf,"ケイ＿微笑み系Ｌ","",0x0,0x0 0x2 0x170 0x40a,196,42,14
bvm_decmp/m/078/before.bvmc,0xc,0x91,"ケイ","",0x0,0xb 0x103 0x12e 0x176 0x2e3 0x314 0x358 0x374 0x3c3 0x402 0x410 0x42c 0x0,196,42,14
bvm_decmp/m/078/before.bvmc,0x46,0x5b9,"たぶんな。","",0x0,0x0 0x1 0x412,196,42,14
bvm_decmp/m/078/before.bvmc,0x40,0x4f9,"カオル＿考え中","",0x0,0x0 0x2 0x3d9 0x418,196,42,14
bvm_decmp/m/078/before.bvmc,0x9,0x70,"カオル","",0x0,0x16 0xeb 0x10f 0x115 0x121 0x147 0x14e 0x155 0x15c 0x2cc 0x2fd 0x32e 0x33c 0x343 0x34a 0x366 0x36d 0x3b5 0x3d1 0x3df 0x3e6 0x3f4 0x41e 0x0,196,42,14
bvm_decmp/m/078/before.bvmc,0x47,0x5c4,"だから、今は
神社に泊めてもらってるんだ～。","",0x0,0x0 0x1 0x420,196,42,14
bvm_decmp/m/078/before.bvmc,0x3d,0x496,"ケイ＿にが笑いＬ","",0x0,0x0 0x3 0x3bd 0x3fc 0x426,196,42,14
bvm_decmp/m/078/before.bvmc,0xc,0x91,"ケイ","",0x0,0xb 0x103 0x12e 0x176 0x2e3 0x314 0x358 0x374 0x3c3 0x402 0x410 0x42c 0x0,196,42,14
bvm_decmp/m/078/before.bvmc,0x48,0x5f1,"な、なるほど……。","",0x0,0x0 0x1 0x42e,196,42,14
bvm_decmp/m/078/before.bvmc,0x49,0x604,"Func0017ED54","",0x0,0x0 0x1 0x458,196,42,14
bvm_decmp/m/078/before.bvmc,0x0,0x0,"Japan02","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/078/before.bvmc,0x4a,0x611,"self","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/078/before.bvmc,0x4b,0x616,"enemy1","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/078/before.bvmc,0x4c,0x61d,"enemy2","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/078/before.bvmc,0x4d,0x624,"enemy3","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/078/before.bvmc,0x4e,0x62b,"enName1","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/078/before.bvmc,0x4f,0x633,"OnGameOver","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/078/before.bvmc,0x50,0x63e,"TxWid","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/078/before.bvmc,0x51,0x644,"TxHi","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/078/before.bvmc,0x52,0x649,"main","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/078/before.bvmc,0x53,0x64e,"Func0017EBC4","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/078/before.bvmc,0x54,0x65b,"Func0017ECB4","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/078/before.bvmc,0x55,0x668,"Func0017ED54","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/078/before.bvmc,0x56,0x675,"Func001987A4","",0x0,0x0 0x0,196,42,14
